ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,0,30,Yards,In-stream Installation,Habitat
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.00,0.25,Miles,In-stream Installation,Habitat
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,0.0,0.0,Acres,Remove Plants Invasive,Waste
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,0.0,0.0,Acres,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.33,0.33,Miles,,
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.00,0.20,Miles,Streambank Stablized,Summary Metric
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,2.0,Acres,Riparian,Habitat
09-1706,Big Quilcene ELJ Restoration Phase 1,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.70,Number,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,18.0,26.8,Acres,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.39,1.38,Miles,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Incidentals,Survey (Acq),Acres surveyed,,27.00,26.75,Acres,Survey,Assessment
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Incidentals,Boundary line adjustment,Number of months required to complete the boundary line adjustment,,27,3,Number,Incidentals,Unspecified
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Incidentals,Stewardship plan,Acres included in the stewardship plan,,27.00,26.75,Acres,Stewardship,Human
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,1,1,Number,Incidentals,Unspecified
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.50,1.38,Miles,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,27.00,26.75,Acres,Land Acquisition Fee Simple,Acquisition
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,30.00,26.75,Acres,,
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,18.0,13.3,Acres,Riparian,Habitat
09-1788,Donovan Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,27.00,26.75,Acres,,
09-1515,Lead Entity West Sound Watershed,P,Closed Comp,SALMON-LE FED,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1515,Lead Entity West Sound Watershed,P,Closed Comp,SALMON-LE FED,Jobs Created,Number of jobs created by this project,,,0.00,1.00,Number,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.3,1.9,Acres,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.44,0.20,Miles,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,0.0,0.0,Acres,Remove Plants Invasive,Waste
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.0,4.6,Acres,In-stream Installation,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,0,40,Yards,In-stream Installation,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Average stream width,in feet,55,55,Feet,Remove Blockage,Fish Passage
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,0.0,0.0,Acres,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Stream Treated for channel reconfiguration and connectivity (C.4.c.3),,0.00,0.31,Miles,Channel Connectivity,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.00,0.31,Miles,In-stream Installation,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,0,12,Number,In-stream Installation,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Change in water flow (fish passage project)(cu feet),,0,0,Cu Feet per Sec,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Off-Channel Stream Created (C.4.c.4),,0.00,0.07,Miles,Channel Connectivity,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,0,1,Number,Remove Blockage,Fish Passage
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,0,20,Number,In-stream Installation,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,0.0,0.0,Acres,Remove Plants Invasive,Waste
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Acres Of Channel/Off-Channel Connected Or Added (C.4.c.5),,0.0,0.4,Acres,Channel Connectivity,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Instream Pools Created/Added (C.4.c.6),,0,20,Number,Channel Connectivity,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Fish Passage Improvement,Number of blockages / impediments / barriers impeding passage (C.2.b.4),,,0,1,Number,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,16.0,Sq Miles,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,0.00,16.00,Miles,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,General restoration activities,Restoration signs,Number of signs installed,,0,0,Number,Infrastructure,Human
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.31,0.31,Miles,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,1.9,Acres,Riparian,Habitat
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Spawning gravel placement (C.4.f.1),Cubic Yards of spawning gravel placed (C.4.f.3),,0,0,Cu Yards,Beach,Shoreline Restoration
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,3,Number,Permit,Planning
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Spawning gravel placement (C.4.f.1),Miles of Stream Treated with spawning gravel placement (C.4.f.2),,0.00,0.00,Miles,Beach,Shoreline Restoration
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
09-1672,Chico Crk Inst. Restoration Phase 2 Construction,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.09,0.20,Miles,Streambank Stablized,Summary Metric
09-1690,West Sound Water Type Assessment,P,Closed Comp,PSAR,Salmonid Habitat Assessment / Inventory,Habitat surveys (B.2.d),Amount Of Habitat Assessed That Needed Restoration (B.2.d.3),,0.0,400.0,Acres,Survey,Assessment
09-1690,West Sound Water Type Assessment,P,Closed Comp,PSAR,Salmonid Habitat Assessment / Inventory,Habitat surveys (B.2.d),Acres of habitat assessed (B.2.d.2),,0.0,8300.0,Acres,Survey,Assessment
09-1690,West Sound Water Type Assessment,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1690,West Sound Water Type Assessment,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
09-1691,Powel Shoreline Restoration Design,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,165,Number,,
09-1691,Powel Shoreline Restoration Design,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.50,Number,,
09-1545,Lead Entity WRIA 14 Mason CD,P,Closed Comp,SALMON-LE FED,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1545,Lead Entity WRIA 14 Mason CD,P,Closed Comp,SALMON-LE FED,Jobs Created,Number of jobs created by this project,,,0.00,1.50,Number,,
09-1568,WRIA 14 Three Year Workplan Project Development,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
09-1568,WRIA 14 Three Year Workplan Project Development,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,4.00,0.00,Number,,
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.5,0.5,Acres,,
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.32,0.32,Miles,,
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,20,20,Yards,In-stream Installation,Habitat
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.32,0.32,Miles,In-stream Installation,Habitat
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,4,4,Number,In-stream Installation,Habitat
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,4,4,Number,In-stream Installation,Habitat
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,5,5,Number,Monitoring,Assessment
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.5,0.5,Acres,In-stream Installation,Habitat
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.32,0.32,Miles,Streambank Stablized,Summary Metric
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,2.20,2.20,Number,,
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Spawning gravel placement (C.4.f.1),Miles of Stream Treated with spawning gravel placement (C.4.f.2),,0.32,0.32,Miles,Beach,Shoreline Restoration
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Spawning gravel placement (C.4.f.1),Cubic Yards of spawning gravel placed (C.4.f.3),,20,20,Cu Yards,Beach,Shoreline Restoration
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.32,0.32,Miles,,
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.5,0.5,Acres,Riparian,Habitat
10-1522,Lower Tahuya LWD Placement,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,3,Number,Permit,Planning
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Road drainage system improvements and reconstruction (C.6.c.1),Miles of Road Treated for drainage improvements and reconstruction (C.6.c.2),,0.10,0.10,Miles,Infrastructure,Human
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,0.8,0.8,Acres,,
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Upland vegetation management (C.6.h.1),Acres Treated for upland vegetation management (C.6.h.3),,4.5,4.5,Acres,Upland Plants,Habitat
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,0.2,0.2,Acres,Remove Plants Invasive,Waste
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Erosion control structures (C.6.e.1),Acres Treated for erosion control (C.6.e.2),,0.1,0.1,Acres,Structure Installation,Waste
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,5.0,5.0,Acres,,
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Planting for erosion and sediment control (C.6.f.1),Acres planted for erosion and sediment control (C.6.f.3),,0.2,0.2,Acres,Upland Plants,Habitat
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Road drainage system improvements and reconstruction (C.6.c.1),Average width of road treated for drainage improvements and reconstruction (C.6.c.3),,40,40,Yards,Infrastructure,Human
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Erosion control structures (C.6.e.1),Number of Erosion/Sediment Control Installations (C.6.e.3),,3,3,Number,Structure Installation,Habitat
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.10,0.10,Miles,,
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.30,0.30,Miles,,
10-1566,Little Quilcene Brush Plant Road Reach,R,Closed Comp,SALMON ST PROJ,Site Stewardship Project,Stream or streambank stewardship (C.11.b.1),Miles of Streambank provided stewardship (C.11.b.2),,0.31,0.30,Miles,Stewardship,Human
